2022-12-13 14:54:49,226 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-12-13 14:54:49,277 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-12-13 14:54:49,277 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-12-13 14:54:49,279 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-12-13 14:54:49,279 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-12-13 14:54:49,279 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-12-13 14:54:49,279 INFO  SwAddin.cs: 201 - Setting up command manager
2022-12-13 14:54:49,279 INFO  SwAddin.cs: 204 - Adding command manager
2022-12-13 14:54:49,287 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-12-13 14:54:49,287 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-12-13 14:54:49,287 INFO  SwAddin.cs: 210 - Adding event handlers
2022-12-13 14:54:49,287 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-12-13 14:56:02,623 INFO  SwAddin.cs: 294 - Assembly export called for file Windmill.SLDASM
2022-12-13 14:56:05,971 INFO  SwAddin.cs: 313 - Saving assembly
2022-12-13 14:56:06,166 INFO  SwAddin.cs: 316 - Opening property manager
2022-12-13 14:56:06,214 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Windmill.SLDASM
2022-12-13 14:56:06,231 INFO  ExportHelperExtension.cs: 1136 - Found 26 in Windmill.SLDASM
2022-12-13 14:56:06,233 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Windmill.SLDASM
2022-12-13 14:56:06,234 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-12-13 14:56:06,236 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-12-13 14:56:06,238 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from WindmillBase-1
2022-12-13 14:56:06,239 INFO  ExportHelperExtension.cs: 1136 - Found 24 in WindmillBase-1
2022-12-13 14:56:06,240 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in WindmillBase-1
2022-12-13 14:56:06,241 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from WindmillBlades-1
2022-12-13 14:56:06,241 INFO  ExportHelperExtension.cs: 1136 - Found 27 in WindmillBlades-1
2022-12-13 14:56:06,242 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in WindmillBlades-1
2022-12-13 14:56:06,243 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Windmill.SLDASM
2022-12-13 14:56:06,243 INFO  ExportHelperExtension.cs: 1136 - Found 26 in Windmill.SLDASM
2022-12-13 14:56:06,244 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Windmill.SLDASM
2022-12-13 14:56:06,245 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-12-13 14:56:06,245 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-12-13 14:56:06,246 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from WindmillBase-1
2022-12-13 14:56:06,247 INFO  ExportHelperExtension.cs: 1136 - Found 24 in WindmillBase-1
2022-12-13 14:56:06,247 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in WindmillBase-1
2022-12-13 14:56:06,248 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from WindmillBlades-1
2022-12-13 14:56:06,249 INFO  ExportHelperExtension.cs: 1136 - Found 27 in WindmillBlades-1
2022-12-13 14:56:06,250 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in WindmillBlades-1
2022-12-13 14:56:06,552 INFO  SwAddin.cs: 339 - Loading config tree
2022-12-13 14:56:06,559 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-12-13 14:56:06,565 INFO  SwAddin.cs: 344 - Showing property manager
2022-12-13 14:56:21,752 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-12-13 14:56:22,398 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-12-13 14:56:28,662 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-12-13 14:56:32,022 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-12-13 14:56:32,281 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-12-13 14:57:24,641 INFO  SwAddin.cs: 294 - Assembly export called for file Windmill.SLDASM
2022-12-13 14:57:24,642 INFO  SwAddin.cs: 299 - Save is required
2022-12-13 14:57:24,643 INFO  SwAddin.cs: 313 - Saving assembly
2022-12-13 14:57:24,852 INFO  SwAddin.cs: 316 - Opening property manager
2022-12-13 14:57:24,852 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Windmill.SLDASM
2022-12-13 14:57:24,853 INFO  ExportHelperExtension.cs: 1136 - Found 26 in Windmill.SLDASM
2022-12-13 14:57:24,853 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Windmill.SLDASM
2022-12-13 14:57:24,854 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-12-13 14:57:24,855 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-12-13 14:57:24,855 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from WindmillBase-1
2022-12-13 14:57:24,855 INFO  ExportHelperExtension.cs: 1136 - Found 24 in WindmillBase-1
2022-12-13 14:57:24,857 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in WindmillBase-1
2022-12-13 14:57:24,857 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from WindmillBlades-1
2022-12-13 14:57:24,858 INFO  ExportHelperExtension.cs: 1136 - Found 27 in WindmillBlades-1
2022-12-13 14:57:24,859 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in WindmillBlades-1
2022-12-13 14:57:24,860 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Windmill.SLDASM
2022-12-13 14:57:24,860 INFO  ExportHelperExtension.cs: 1136 - Found 26 in Windmill.SLDASM
2022-12-13 14:57:24,861 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Windmill.SLDASM
2022-12-13 14:57:24,861 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-12-13 14:57:24,862 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-12-13 14:57:24,863 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from WindmillBase-1
2022-12-13 14:57:24,864 INFO  ExportHelperExtension.cs: 1136 - Found 24 in WindmillBase-1
2022-12-13 14:57:24,865 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in WindmillBase-1
2022-12-13 14:57:24,866 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from WindmillBlades-1
2022-12-13 14:57:24,867 INFO  ExportHelperExtension.cs: 1136 - Found 27 in WindmillBlades-1
2022-12-13 14:57:24,868 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in WindmillBlades-1
